660.6 0 0 0 
700 0.0000148 0 0 
750 0.000138 0 0 
800 0.000605 0 0 
850 0.00156 0 0 
900 0.00201 0 0 
950 0.00116 0 0 
1000 -0.000839 0 0 
1050 -0.0028 0 0 
1100 -0.00375 0 0 
1150 -0.0038 0 0 
1200 -0.00302 0 0 
1250 -0.002 0 0 
1300 -0.00124 0 0 
1350 -0.000677 0 0 
1400 -0.000308 0 0 
1450 -0.00012 0 0 
1500 -0.000108 0 0 
1550 -0.00026 0 0 
1600 -0.000507 0 0 
1650 -0.000785 0 0 
1700 -0.0011 0 0 
1750 -0.00146 0 0 
1800 -0.00186 0 0 
1850 -0.00229 0 0 
1900 -0.00277 0 0 
1950 -0.00329 0 0 
2000 -0.00385 0 0 
2050 -0.00445 0 0 
2100 -0.00504 0 0 
2150 -0.0056 0 0 
2200 -0.00612 0 0 
2250 -0.00661 0 0 
2300 -0.00707 0 0 
2350 -0.0075 0 0 
2400 -0.00789 0 0 
2450 -0.00826 0 0 
2500 -0.0086 0 0 
2550 -0.00892 0 0 
2600 -0.0092 0 0 
2650 -0.00945 0 0 
2700 -0.00968 0 0 
2750 -0.00988 0 0 
2800 -0.0101 0 0 
2850 -0.0102 0 0 
2900 -0.0103 0 0 
2950 -0.0104 0 0 
