# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3191      0.0216187      0.0216187              0              0
    6380    3192      0.0221855      0.0221855              0              0
    6380    3193      0.0227358      0.0227358              0              0
    6380    3194      0.0232669      0.0232669              0              0
    6380    3195      0.0237759      0.0237759              0              0
    6380    3196      0.0242602      0.0242602              0              0
    6380    3197      0.0247173      0.0247173              0              0
    6380    3198      0.0251447      0.0251447              0              0
    6380    3199      0.0255403      0.0255403              0              0
    6380    3200      0.0259021      0.0259021              0              0
    6380    3201      0.0262285      0.0262285              0              0
    6380    3202      0.0265181      0.0265181              0              0
    6380    3203      0.0267698      0.0267698              0              0
    6380    3204      0.0269831      0.0269831              0              0
    6380    3205      0.0271574      0.0271574              0              0
    6380    3206      0.0272927      0.0272927              0              0
    6380    3207      0.0273892      0.0273892              0              0
    6380    3208      0.0274475      0.0274475              0              0
    6380    3209      0.0274684      0.0274684              0              0
    6380    3210      0.0274533      0.0274533              0              0
    6380    3211      0.0274035      0.0274035              0              0
    6380    3212      0.0273206      0.0273206              0              0
    6380    3213      0.0272066      0.0272066              0              0
    6380    3214      0.0270635      0.0270635              0              0
    6380    3215      0.0268932      0.0268932              0              0
    6380    3216       0.026698       0.026698              0              0
    6380    3217      0.0264802      0.0264802              0              0
    6380    3218      0.0262418      0.0262418              0              0
    6380    3219      0.0259851      0.0259851              0              0
    6380    3220      0.0257123      0.0257123              0              0
    6380    3221      0.0254254      0.0254254              0              0
    6380    3222      0.0251264      0.0251264              0              0
    6380    3223      0.0248172      0.0248172              0              0
    6380    3224      0.0244996      0.0244996              0              0
    6380    3225      0.0241754      0.0241754              0              0
    6380    3226      0.0238461      0.0238461              0              0
    6380    3227      0.0235131      0.0235131              0              0
    6380    3228      0.0231778      0.0231778              0              0
    6380    3229      0.0228414      0.0228414              0              0
    6380    3230       0.022505       0.022505              0              0
    6380    3231      0.0221697      0.0221697              0              0
    6380    3232      0.0218363      0.0218363              0              0
    6380    3233      0.0215056      0.0215056              0              0
    6380    3234      0.0211784      0.0211784              0              0
    6380    3235      0.0208552      0.0208552              0              0
    6380    3236      0.0205366      0.0205366              0              0
    6380    3237       0.020223       0.020223              0              0
    6380    3238      0.0199149      0.0199149              0              0
    6380    3239      0.0196126      0.0196126              0              0
    6380    3240      0.0193163      0.0193163              0              0
    6380    3241      0.0190264      0.0190264              0              0
    6380    3242      0.0187429      0.0187429              0              0
    6380    3243       0.018466       0.018466              0              0
    6380    3244      0.0181959      0.0181959              0              0
    6380    3245      0.0179325      0.0179325              0              0
    6380    3246       0.017676       0.017676              0              0
    6380    3247      0.0174263      0.0174263              0              0
    6380    3248      0.0171835      0.0171835              0              0
    6380    3249      0.0169475      0.0169475              0              0
    6380    3250      0.0167184      0.0167184              0              0
    6380    3251      0.0164959      0.0164959              0              0
    6380    3252      0.0162802      0.0162802              0              0
    6380    3253       0.016071       0.016071              0              0
    6380    3254      0.0158684      0.0158684              0              0
    6380    3255      0.0156722      0.0156722              0              0
    6380    3256      0.0154823      0.0154823              0              0
    6380    3257      0.0152987      0.0152987              0              0
    6380    3258      0.0151212      0.0151212              0              0
    6380    3259      0.0149497      0.0149497              0              0
    6380    3260      0.0147842      0.0147842              0              0
    6380    3261      0.0146245      0.0146245              0              0
    6380    3262      0.0144705      0.0144705              0              0
    6380    3263      0.0143222      0.0143222              0              0
    6380    3264      0.0141794      0.0141794              0              0
    6380    3265      0.0140419      0.0140419              0              0
    6380    3266      0.0139098      0.0139098              0              0
    6380    3267      0.0137829      0.0137829              0              0
    6380    3268      0.0136611      0.0136611              0              0
    6380    3269      0.0135443      0.0135443              0              0
    6380    3270      0.0134325      0.0134325              0              0
    6380    3271      0.0133255      0.0133255              0              0
    6380    3272      0.0132232      0.0132232              0              0
    6380    3273      0.0131256      0.0131256              0              0
    6380    3274      0.0130326      0.0130326              0              0
    6380    3275      0.0129441      0.0129441              0              0
    6380    3276      0.0128601      0.0128601              0              0
    6380    3277      0.0127804      0.0127804              0              0
    6380    3278       0.012705       0.012705              0              0
    6380    3279      0.0126339      0.0126339              0              0
    6380    3280      0.0125669      0.0125669              0              0
    6380    3281       0.012504       0.012504              0              0
    6380    3282      0.0124451      0.0124451              0              0
    6380    3283      0.0123903      0.0123903              0              0
    6380    3284      0.0123393      0.0123393              0              0
    6380    3285      0.0122923      0.0122923              0              0
    6380    3286      0.0122491      0.0122491              0              0
    6380    3287      0.0122097      0.0122097              0              0
    6380    3288       0.012174       0.012174              0              0
    6380    3289       0.012142       0.012142              0              0
    6380    3290      0.0121136      0.0121136              0              0
    6380    3291      0.0120889      0.0120889              0              0
    6380    3292      0.0120678      0.0120678              0              0
    6380    3293      0.0120502      0.0120502              0              0
    6380    3294      0.0120361      0.0120361              0              0
    6380    3295      0.0120255      0.0120255              0              0
    6380    3296      0.0120183      0.0120183              0              0
    6380    3297      0.0120146      0.0120146              0              0
    6380    3298      0.0120142      0.0120142              0              0
    6380    3299      0.0120172      0.0120172              0              0
    6380    3300      0.0120235      0.0120235              0              0
    6380    3301      0.0120332      0.0120332              0              0
    6380    3302      0.0120462      0.0120462              0              0
    6380    3303      0.0120624      0.0120624              0              0
    6380    3304      0.0120818      0.0120818              0              0
    6380    3305      0.0121045      0.0121045              0              0
    6380    3306      0.0121304      0.0121304              0              0
    6380    3307      0.0121596      0.0121596              0              0
    6380    3308      0.0121918      0.0121918              0              0
    6380    3309      0.0122273      0.0122273              0              0
    6380    3310      0.0122659      0.0122659              0              0
    6380    3311      0.0123076      0.0123076              0              0
    6380    3312      0.0123525      0.0123525              0              0
    6380    3313      0.0124005      0.0124005              0              0
    6380    3314      0.0124516      0.0124516              0              0
    6380    3315      0.0125058      0.0125058              0              0
    6380    3316      0.0125631      0.0125631              0              0
    6380    3317      0.0126234      0.0126234              0              0
    6380    3318      0.0126869      0.0126869              0              0
    6380    3319      0.0127534      0.0127534              0              0
    6380    3320       0.012823       0.012823              0              0
    6380    3321      0.0128957      0.0128957              0              0
    6380    3322      0.0129714      0.0129714              0              0
    6380    3323      0.0130502      0.0130502              0              0
    6380    3324      0.0131321      0.0131321              0              0
    6380    3325      0.0132171      0.0132171              0              0
    6380    3326      0.0133051      0.0133051              0              0
    6380    3327      0.0133963      0.0133963              0              0
    6380    3328      0.0134905      0.0134905              0              0
    6380    3329      0.0135878      0.0135878              0              0
    6380    3330      0.0136883      0.0136883              0              0
    6380    3331      0.0137919      0.0137919              0              0
    6380    3332      0.0138987      0.0138987              0              0
    6380    3333      0.0140086      0.0140086              0              0
    6380    3334      0.0141217      0.0141217              0              0
    6380    3335      0.0142381      0.0142381              0              0
    6380    3336      0.0143576      0.0143576              0              0
    6380    3337      0.0144805      0.0144805              0              0
    6380    3338      0.0146066      0.0146066              0              0
    6380    3339      0.0147361      0.0147361              0              0
    6380    3340      0.0148689      0.0148689              0              0
    6380    3341      0.0150051      0.0150051              0              0
    6380    3342      0.0151447      0.0151447              0              0
    6380    3343      0.0152878      0.0152878              0              0
    6380    3344      0.0154345      0.0154345              0              0
    6380    3345      0.0155847      0.0155847              0              0
    6380    3346      0.0157386      0.0157386              0              0
    6380    3347      0.0158962      0.0158962              0              0
    6380    3348      0.0160575      0.0160575              0              0
    6380    3349      0.0162226      0.0162226              0              0
    6380    3350      0.0163916      0.0163916              0              0
    6380    3351      0.0165646      0.0165646              0              0
    6380    3352      0.0167416      0.0167416              0              0
    6380    3353      0.0169227      0.0169227              0              0
    6380    3354       0.017108       0.017108              0              0
    6380    3355      0.0172976      0.0172976              0              0
    6380    3356      0.0174916      0.0174916              0              0
    6380    3357      0.0176901      0.0176901              0              0
    6380    3358      0.0178932      0.0178932              0              0
    6380    3359       0.018101       0.018101              0              0
    6380    3360      0.0183137      0.0183137              0              0
    6380    3361      0.0185313      0.0185313              0              0
    6380    3362      0.0187539      0.0187539              0              0
    6380    3363      0.0189818      0.0189818              0              0
    6380    3364       0.019215       0.019215              0              0
    6380    3365      0.0194537      0.0194537              0              0
